9	9	9	9	9	9	9	9	9	9	9	9	9	13	13	13	13	13	13	13	13	9	9	9	9	9	9	9	9	9	9	9
9	0	0	0	0	5	0	0	0	0	0	0	9	13	-1	-1	-1	-1	-1	-1	13	9	9	0	0	0	0	0	0	0	9	9
9	0	9	9	0	5	0	0	0	0	0	0	9	13	-1	-1	-1	-1	-1	-1	13	9	0	0	0	0	0	0	0	0	5	9
9	0	0	9	0	5	0	0	9	0	0	0	9	13	-1	-1	-1	-1	-1	-1	13	9	0	0	0	9	9	9	9	0	5	9
9	0	9	9	0	5	0	0	0	0	0	0	-1	98	-1	-1	-1	-1	-1	-1	98	-1	0	0	0	9	9	13	9	0	5	9
9	0	0	0	0	5	0	0	9	0	0	0	9	13	-1	-1	-1	-1	-1	-1	13	9	9	9	9	9	9	13	9	0	5	9
9	0	9	9	0	0	0	9	0	0	0	0	9	13	-1	-1	-1	-1	-1	-1	13	9	13	0	0	0	9	9	9	0	5	9
9	0	0	0	0	0	0	0	0	0	0	0	9	13	-1	-1	-1	-1	-1	-1	13	9	13	0	0	0	9	8	0	0	5	9
9	9	9	9	9	0	9	9	9	9	9	9	9	13	13	13	13	13	13	13	13	9	13	0	0	0	9	0	0	0	5	9
1	1	1	1	1	98	13	13	13	13	13	13	5	5	5	5	5	5	5	5	9	9	9	9	0	0	0	0	0	0	5	9
13	1	-1	-1	-1	-1	-1	-1	-1	-1	13	13	5	0	5	0	5	0	5	5	0	0	0	9	0	0	0	0	0	0	5	1
13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	5	0	0	0	0	0	0	0	0	0	0	9	0	0	9	0	9	0	5	9
13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	5	5	0	5	0	0	0	0	0	0	0	0	0	0	9	0	0	0	5	9
13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	5	0	0	0	0	5	0	0	0	0	0	0	0	0	9	0	0	0	5	9
13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	5	0	5	0	5	0	0	0	0	0	0	9	0	0	9	0	9	0	5	9
13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	5	0	0	0	0	0	0	0	0	0	0	9	0	0	9	0	0	0	5	9
13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	0	5	0	5	0	5	0	0	0	0	0	9	0	0	9	0	0	0	5	9
13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	5	0	0	5	5	5	0	0	5	5	5	5	5	5
13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	5	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
13	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	5	5	5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	5
13	1	1	1	1	1	98	1	1	1	1	1	1	1	1	1	1	1	5	0	5	5	5	5	0	0	5	5	5	0	0	5
1	1	1	1	1	1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	1	5	0	0	9	5	5	0	0	5	5	5	0	0	5
1	1	0	0	0	0	0	0	0	1	1	1	-1	-1	-1	-1	-1	1	5	0	0	9	5	5	0	0	5	5	5	0	0	5
1	0	0	0	0	0	0	0	0	0	1	1	-1	-1	-1	-1	-1	1	5	5	5	5	5	5	0	0	5	5	5	13	13	5
1	0	0	0	0	0	0	0	0	0	1	1	-1	-1	-1	-1	-1	1	5	5	5	5	5	5	0	0	5	5	5	5	5	5
1	0	0	0	0	0	0	0	0	0	1	1	1	1	99	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	5	5
1	1	0	0	5	0	0	0	0	1	1	1	1	-1	-1	-1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	5	5
1	0	0	0	5	0	0	0	0	0	1	1	-1	-1	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	5
1	0	0	0	0	0	0	0	0	0	-1	98	-1	-1	-1	-1	-1	98	-1	0	0	0	0	0	0	0	0	0	0	0	1	5
1	0	0	0	0	0	0	0	0	0	1	1	-1	-1	-1	-1	-1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	5
1	1	0	0	0	0	0	0	0	1	1	1	1	-1	-2	-1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	5
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1
